arr ; signal ; dist ; angle ; pNoise ; pSigna ; snr_DB ; K_True ; K_Estim ; Dist_Estim
A4 ; CH ; 10 ; 00 ; [1.6337308266074633e-05, 1.901166253406991e-05, 1.826064613070559e-05, 2.0954957618159608e-05, 1.903120495828822e-05, 2.4225114972368895e-05, 2.0634898297216064e-05, 2.267669831502861e-05] ; [0.0013052694389980677, 0.0010682369933218512, 0.0017228176375848486, 0.0014712977141752084, 0.0012722284050692048, 0.0016084820231137232, 0.002280801610687527, 0.0008327618817888711] ; [43.80713422047122, 40.267067721295014, 45.46319253939962, 42.46937125507357, 42.0001990230817, 41.90333849888117, 47.02789843748984, 35.985730352834096] ; 0.14694710724463217 ; 0.04632950750970995 ; 10.0 ; 5.838464207985338
A4 ; CH ; 10 ; 22,5 ; [1.2911024053251599e-05, 1.6555319955486733e-05, 1.530679696076627e-05, 1.8982494823365627e-05, 1.610784406553984e-05, 2.0229262645929957e-05, 1.8942750327641408e-05, 1.678910822180396e-05] ; [0.0015240360331952752, 0.001252955359571254, 0.0014338962905733957, 0.0006521673888481716, 0.0007873248157707086, 0.0010351791532065416, 0.0008998394445838502, 0.0005382345432718151] ; [47.71035855600616, 43.250642782457845, 45.39200209504682, 35.27385784653469, 38.860159044461454, 39.282881446514786, 38.54948099678482, 34.620215085166926] ; 0.09923997014743427 ; 0.030831540904783662 ; 10.0 ; 5.763543579935812
A4 ; CH ; 10 ; 45 ; [8.51509078594568e-06, 1.0970129384772056e-05, 1.0744828737616095e-05, 1.4511958788890886e-05, 1.0612721596466356e-05, 1.4173453026397518e-05, 1.407257295567095e-05, 1.1325131460541501e-05] ; [0.0012918230908630973, 0.0012771892678030215, 0.0012224398605283075, 0.0008502656719811206, 0.0008917683821955331, 0.0008033032171544785, 0.0009112035897622268, 0.001371359665202267] ; [50.21969772448482, 47.562735911299086, 47.33641371391377, 40.650756008222274, 44.29223937544033, 40.311234136052434, 41.66252435443787, 47.95069300210439] ; 0.10727127593915652 ; 0.09523400506192413 ; 10.0 ; 9.551205653628994
A4 ; CH ; 10 ; 67,5 ; [1.1287914841038166e-05, 1.3147424915705269e-05, 1.2457660987057143e-05, 1.719375266513737e-05, 1.2191414228288776e-05, 1.684362112876783e-05, 1.5963820980601403e-05, 1.321367721350438e-05] ; [0.0018617617198388476, 0.0013630525475395012, 0.0010376645068094637, 0.000726175638452413, 0.001019742098185146, 0.0008636311857281112, 0.0005298514579826022, 0.0007376955931173422] ; [51.055458093175915, 46.401696358875746, 44.21657031919224, 37.35607453319329, 44.2463514535984, 39.30276031500504, 34.9389288050694, 40.190998401176195] ; 0.10067162595087717 ; 0.015742569394666193 ; 10.0 ; 4.140787977419405
A4 ; CH ; 10 ; 90 ; [1.5308388786320954e-05, 1.7684959137434564e-05, 1.699987223326139e-05, 2.3409494901316335e-05, 1.6199340173199276e-05, 2.447669978081888e-05, 2.3130045205852737e-05, 1.7268262818058672e-05] ; [0.0011333429032244528, 0.0019576461574151724, 0.0010845158780599885, 0.0010693821652050133, 0.0018687334831448106, 0.0009766738192574546, 0.0004732904897278308, 0.000683174163746581] ; [43.04525901090262, 47.05766089884133, 41.54723381878089, 38.14634640435714, 47.46640905160938, 36.77558877547679, 30.049503088669077, 36.73390600759726] ; 0.11403628934899179 ; 0.01737627670946475 ; 10.0 ; 4.162299974891782
A4 ; CH ; 20 ; 00 ; [1.1989400015622858e-05, 1.5150192416969354e-05, 1.3339681128588092e-05, 1.8413245510718954e-05, 1.5801825717030066e-05, 2.1109464069198953e-05, 1.905257664611047e-05, 1.7377665661931036e-05] ; [0.0008740731903901033, 0.0008769802834253824, 0.0007145736854491297, 0.0009100592479521892, 0.0013624229299390193, 0.0009359916353464604, 0.0013921943688181386, 0.0006102741563462475] ; [42.89141186625555, 40.56524619586532, 39.79799864730061, 38.93915795962227, 44.5501447618902, 37.83904364068169, 42.87636932317062, 35.53664068395748] ; 0.3860607124891102 ; 0.0616396156885449 ; 20.0 ; 8.230529365194569
A4 ; CH ; 20 ; 22,5 ; [9.799588985309997e-06, 1.395568229690126e-05, 1.1598113638254004e-05, 1.4020250061110478e-05, 1.2421801003026713e-05, 1.4135038410073158e-05, 1.3067976395053809e-05, 1.3334360616753101e-05] ; [0.0008371234324922763, 0.0007927366760866625, 0.0005057173937083095, 0.0005480592641166082, 0.0006762468321960745, 0.0003922641386367032, 0.0005555930473732536, 0.0005086776947651933] ; [44.476310852165014, 40.376205766856614, 37.737310108194166, 36.5762540669924, 39.941260059001635, 33.10496839956984, 37.43336295944667, 36.368146299035075] ; 0.23861220155815324 ; 0.04198257521565715 ; 20.0 ; 8.528080050969054
A4 ; CH ; 20 ; 45 ; [9.090412122805135e-06, 1.1283575825581562e-05, 1.012220478071766e-05, 1.2656944242609221e-05, 1.0588724772032337e-05, 1.3252787550868435e-05, 1.3898541099190861e-05, 1.148595868390936e-05] ; [0.0008888256964199606, 0.0005437468644652896, 0.0006133299187453992, 0.0007654413761774643, 0.0006631196484860803, 0.0005986559021710455, 0.0005465012285159097, 0.0009140655593190084] ; [45.82680904067068, 38.72796796074026, 41.031609699744614, 40.96918335614302, 41.34576491297649, 38.02645965402069, 36.646846986637115, 43.74547915942584] ; 0.2773416635749572 ; 0.06150215766347662 ; 20.0 ; 9.563556623052675
A4 ; CH ; 20 ; 67,5 ; [2.4673377012737414e-05, 2.34895742849889e-05, 1.8377378283583183e-05, 1.840590461995668e-05, 2.6066135560003965e-05, 2.695161939232615e-05, 2.38107482989116e-05, 2.5232167992152414e-05] ; [0.0007278627892340142, 0.0008558774087213799, 0.0006198890412924251, 0.00037963980960204147, 0.000701709495128298, 0.0006955933369976912, 0.0005253467107680648, 0.0003951936904338473] ; [33.84387745509364, 35.924760936366546, 35.16604058849541, 30.108476303134395, 32.86848822122509, 32.36971401259926, 30.812899925299785, 27.398783668828585] ; 0.24364902253755394 ; 0.02454428166283197 ; 20.0 ; 6.5081893298534705
A4 ; CH ; 20 ; 90 ; [9.845165639198209e-06, 1.3167765720412879e-05, 1.1364222196681093e-05, 1.508543139297867e-05, 1.2671367761195611e-05, 1.5637758116252727e-05, 1.527806961950587e-05, 1.3061175765933455e-05] ; [0.0006037795801854345, 0.0010604838633468494, 0.0008279998940844414, 0.0004154519237035624, 0.0005022635285640148, 0.0006944226720667844, 0.0006156743146051967, 0.00046768792698792164] ; [41.162286612103, 43.87309922325752, 42.87702705296597, 33.03899359030574, 36.75686123465154, 37.854237978091454, 36.89403670370848, 35.73196278918612] ; 0.25884587737392967 ; 0.01532550499468542 ; 20.0 ; 5.018838265975155
