arr ; signal ; dist ; angle ; pNoise ; pSigna ; snr_DB ; K_True ; K_Estim ; Dist_Estim
A4 ; SX ; 10 ; 00 ; [2.5061157034267862e-05, 2.7660824858160623e-05, 2.6575470916010036e-05, 3.4980144813536956e-05, 3.046633373598583e-05, 3.678923889416409e-05, 3.5026839774830254e-05, 3.475455817708273e-05] ; [0.004385923610925333, 0.004587760447646288, 0.0034212723864704983, 0.003555008230702787, 0.003235538335550316, 0.002869159122072486, 0.002336636719388472, 0.0024043531815943096] ; [51.648363932930096, 51.104511470467926, 48.57303669281567, 46.181648007003595, 46.63802325190958, 43.52039363444845, 41.96193230344163, 42.3416085571396] ; 0.3269642113693541 ; 0.10362651674062803 ; 10.0 ; 5.676191247866848
A4 ; SX ; 10 ; 22,5 ; [6.0329323167281826e-06, 6.747989721564451e-06, 6.09985856255692e-06, 9.071343491525315e-06, 6.823275743126639e-06, 7.3680760413508195e-06, 9.0337449492967e-06, 7.1415517629264055e-06] ; [0.0034542227451486757, 0.004436429907427162, 0.0033746820977076626, 0.0026917467163265684, 0.0026372348972581996, 0.002123677490399434, 0.002088727521440768, 0.0027252496969132002] ; [63.50119565114583, 64.88189371063488, 63.15680195509582, 56.917415781689954, 59.56727516610656, 56.625243227529225, 54.42144837008874, 59.439207992765404] ; 0.2876872839809913 ; 0.12370503605240386 ; 10.0 ; 6.626596857700179
A4 ; SX ; 10 ; 45 ; [1.7333833140637312e-05, 2.210495408097326e-05, 2.02415480107403e-05, 3.0559910180863245e-05, 1.9414342745502682e-05, 2.8827906067941856e-05, 3.082549017537303e-05, 2.3560314720254026e-05] ; [0.002433644359173922, 0.003903875036353606, 0.004011237564520364, 0.002707633151585985, 0.003659258228495271, 0.002195466933071853, 0.0025469011422402797, 0.003365532962701944] ; [49.44484884604475, 51.732855548103096, 52.88808896910354, 44.805073022218835, 52.3814407807632, 43.28167441288051, 44.10933256087127, 49.60536679899883] ; 0.3073228478804506 ; 0.18863812800532453 ; 10.0 ; 7.937747162368756
A4 ; SX ; 10 ; 67,5 ; [1.6523016162793205e-05, 2.1652792135405066e-05, 2.0322382910276328e-05, 2.4762470300943627e-05, 2.1630056604002082e-05, 2.8328912042037346e-05, 2.6015394237674262e-05, 2.0990048563522392e-05] ; [0.00285848426550822, 0.004426679045928805, 0.003490244598967491, 0.002614595536388568, 0.00292536253795664, 0.0028671002473447988, 0.0017444598179741347, 0.0029088000162685876] ; [51.53292458363322, 53.19719717444621, 51.45647810610345, 46.5648713267408, 49.0589174236187, 46.136849439271366, 42.013732002470014, 49.30167997390889] ; 0.2938621234037871 ; 0.10602813867848238 ; 10.0 ; 6.099914275415394
A4 ; SX ; 10 ; 90 ; [5.05224218864855e-06, 6.591192618267144e-06, 6.306444094662666e-06, 8.229131173556306e-06, 6.531367100016168e-06, 8.420148165331872e-06, 8.944190197466788e-06, 7.065713205867596e-06] ; [0.0016326570066797124, 0.004416993307082959, 0.0027911221118747916, 0.0031521972463895757, 0.0031936264992488677, 0.002836131862716027, 0.0025248862151346914, 0.0029893501892848113] ; [57.78131889632175, 65.0731218902737, 60.92488715034907, 59.47335249517057, 61.91964863113988, 58.185220107883296, 56.419655837869165, 60.471384441973726] ; 0.2920323228908056 ; 0.20374515780331282 ; 10.0 ; 8.531027495998714
A4 ; SX ; 20 ; 00 ; [8.384170916864783e-06, 1.0535819198165747e-05, 9.325924477675317e-06, 1.2268128927775501e-05, 1.0456621420827573e-05, 1.452348249034592e-05, 1.3246144858652036e-05, 1.2105976718472026e-05] ; [0.0003437682359048267, 0.00021271633937960786, 0.00016696682760985454, 0.00018205923483472316, 0.0005646101857375592, 0.00021706968077186127, 0.00019393480969013215, 0.00017965451812531821] ; [37.13622184031313, 29.99587344695081, 28.81572927862832, 26.75433372437371, 39.85896503700892, 26.80587364125252, 26.647188627180974, 26.85324303457341] ; 0.10248290857450722 ; 0.009568425819310264 ; 20.0 ; 6.485055253519269
A4 ; SX ; 20 ; 22,5 ; [1.4369973712928686e-05, 1.8808582914212227e-05, 1.5085508413326101e-05, 2.0122793024648053e-05, 1.625075426634028e-05, 2.315932423801801e-05, 2.2524049182438385e-05, 2.0407313638196577e-05] ; [0.00023706256649711114, 0.0001100133592005216, 0.0004198426331838771, 0.0001807283941439328, 0.0003907880852635434, 0.00011642805015613123, 0.00035369793401816683, 0.000403657939214277] ; [28.031832291664827, 17.468544857947606, 33.239439966606554, 21.58703385380641, 31.732691273040977, 15.421883702505983, 27.360664146104497, 29.756758676761628] ; 0.11173698075574139 ; 0.004118530870625999 ; 20.0 ; 4.249126712582926
A4 ; SX ; 20 ; 45 ; [7.915521357082599e-06, 1.0069926695290902e-05, 1.0395851446694247e-05, 1.4967081954322278e-05, 1.018286744133569e-05, 1.399382772477561e-05, 1.3761145918689677e-05, 1.0539730046031743e-05] ; [0.0002587180659002464, 0.0002078188056832253, 0.00040581692725559775, 0.000472344698132821, 0.0001612334578466983, 0.0002441391128068219, 7.014047074496443e-05, 0.00032579436511741164] ; [34.86913359490031, 30.216433977249274, 36.62926339664323, 34.41620183906877, 27.51866571024756, 28.38712572809227, 15.72785335045111, 34.2536557199875] ; 0.10715134393355777 ; 0.002031671609119603 ; 20.0 ; 3.069265096254613
A4 ; SX ; 20 ; 67,5 ; [1.016570124360394e-05, 1.2456009522234788e-05, 1.1569890688399255e-05, 1.4651277896035238e-05, 1.3432500526893286e-05, 1.6938201664331565e-05, 1.6456856468916973e-05, 1.397594453436937e-05] ; [0.00019364967021577288, 0.00010896287527859886, 0.0001840036825393541, 0.00014792528999489277, 0.0001413820684213082, 0.00032543744299842373, 0.0003610444535159878, 0.00033164949500330115] ; [29.470312721774185, 21.55851680251079, 27.626941434747753, 22.798314564973452, 23.382834857616857, 29.370839744705776, 30.755553429959015, 31.59245937084901] ; 0.0909215380081819 ; 0.002972869688652167 ; 20.0 ; 3.889428469920792
A4 ; SX ; 20 ; 90 ; [9.568814388818007e-06, 1.153593987550388e-05, 1.0330353214319124e-05, 1.239950701832078e-05, 1.023098417089992e-05, 1.4063299261322316e-05, 1.4243139315986584e-05, 1.1513237147656201e-05] ; [0.0001702647571551443, 0.00021697846213149247, 0.00019483425841795157, 0.00024824042063883143, 0.0002529748950363504, 0.0003413778378688987, 0.00027627719595449244, 0.0002945044036233488] ; [28.788453111242625, 29.283275940483318, 29.33812637887619, 29.80558162948485, 32.012986477070726, 31.74795294727272, 29.507492244524126, 32.348452400318266] ; 0.09975627516920599 ; 0.010807334511933357 ; 20.0 ; 6.69316824817825
