Array;Signal;Distance;Angle;FromNoise;ToNoise;FromSig;ToSig
A4;CH;10;0;0;0.5;1.5;2
A4;CH;10;22.5;0;0.5;1.5;2
A4;CH;10;45;0;0.5;1.5;2
A4;CH;10;67.5;0;0.5;1.5;2
A4;CH;10;90;0;0.5;1.5;2
A4;CH;20;0;0;0.5;2;2.5
A4;CH;20;22.5;0;0.5;2;2.5
A4;CH;20;45;5;6;2;2.5
A4;CH;20;67.5;5;6;2;2.5
A4;CH;20;90;0;0.5;2;2.5
A4;CH;40;0;0;0.5;2;2.5
A4;CH;40;22.5;0;0.5;2;2.5
A4;CH;40;45;6;7;2;2.5
A4;CH;40;67.5;0;0.5;3;4
A4;CH;40;90;6;7;2;2.5
A4;CH;60;0;6;7;2;2.5
A4;CH;60;22.5;0;0.5;3;4
A4;CH;60;45;0;0.5;3;4
A4;CH;60;67.5;6;7;2;2.5
A4;CH;60;90;0;0.5;2;3
A4;CH;80;0;0;0.5;2;3
A4;CH;80;22.5;0;0.5;6;7
A4;CH;80;45;0;0.5;2;3
A4;CH;80;67.5;0;0.5;2;3
A4;CH;80;90;0;0.5;2;3
A4;SX;10;0;0;0.5;2;3
A4;SX;10;22.5;0;0.5;2;3
A4;SX;10;45;0;0.5;2;3
A4;SX;10;67.5;0;0.5;3;4
A4;SX;10;90;0;0.5;2.5;3
A4;SX;20;0;0;0.5;2;3
A4;SX;20;22.5;0;0.5;2;3
A4;SX;20;45;0;0.5;2;3
A4;SX;20;67.5;0;0.5;3;4
A4;SX;20;90;0;0.5;2.5;3.5
A4;SX;40;0;0;0.5;3;3.5
A4;SX;40;22.5;0;0.5;3;3.5
A4;SX;40;45;0;0.5;3;3.5
A4;SX;40;67.5;0;0.5;4;5
A4;SX;40;90;0;0.5;3;3.5
A4;SX;60;0;0;0.5;3;4
A4;SX;60;22.5;0;0.5;3;4
A4;SX;60;45;0;0.5;3;4
A4;SX;60;67.5;0;0.5;5.6;6.3
A4;SX;60;90;0;0.5;3.2;4
A4;SX;80;0;0;0.5;3.2;4
A4;SX;80;22.5;0;0.5;3.2;4
A4;SX;80;45;0;0.5;4;5
A4;SX;80;67.5;0;0.5;5.5;6
A4;SX;80;90;0;0.5;2.5;3
A5;CH;10;0;0;0.5;4.5;5
A5;CH;10;10;0;0.5;1.5;2
A5;CH;10;25;0;0.5;1.5;2
A5;CH;20;0;0;0.5;2;3
A5;CH;20;10;5;6;2;2.5
A5;CH;20;25;5;6;2;2.5
A5;CH;40;0;8;8.5;3.5;4
A5;CH;40;10;0;0.5;2;3
A5;CH;40;25;0;0.5;2;3
A5;CH;60;0;0;0.5;2;3
A5;CH;60;10;0;0.5;2;3
A5;CH;60;25;0;0.5;2;3
A5;CH;80;0;0;0.5;2;3
A5;CH;80;10;0;0.5;2;3
A5;CH;80;25;6;7;1.5;2
A5;SX;10;0;0;0.5;2;3
A5;SX;10;10;0;0.5;3;3.5
A5;SX;10;25;0;0.5;2;3
A5;SX;20;0;0;0.5;2;3
A5;SX;20;10;0;1;3;4
A5;SX;20;25;0;0.5;2;3
A5;SX;40;0;0;0.5;3;4
A5;SX;40;10;0;0.5;4;4.5
A5;SX;40;25;0;0.5;3;4
A5;SX;60;0;0;0.5;3;4
A5;SX;60;10;0;0.5;4;4.5
A5;SX;60;25;0;0.5;3;4
A5;SX;80;0;0;0.5;4;4.5
A5;SX;80;10;0;0.5;4;4.5
A5;SX;80;25;0;0.5;4;4.5
