arr ; signal ; angle ; dist ; pNoise ; pSigna ; snr_DB ; TDOA_real1 ; TDOA_real2 ; TDOA_CSOM1 ; TDOA_CSOM2 ; angleReal ; angleLIN ; angleNOL ; distanceReal ; distanceLIN ; distanceNOL
A4 ; CH ; 00 ; 10 ; [1.6337308266074633e-05, 1.6871440653920235e-05, 1.714311138556125e-05, 1.4220537714777706e-05, 1.5949292538443172e-05, 1.5686845562879675e-05, 1.4920300975527175e-05, 1.865850570741605e-05] ; [0.001305269438998067, 0.0009460818262727793, 0.001616333640345992, 0.0009938878398791403, 0.0010636209703888577, 0.0010360351479148445, 0.0016450278792753332, 0.0006818946320913754] ; [43.80713422047122, 40.26706772129502, 45.46319253939962, 42.46937125507357, 42.000199023081706, 41.90333849888118, 47.02789843748984, 35.985730352834096] ; -0.002618162084410589 ; -0.00261873113921209 ; -0.00013541666666666666 ; -3.125e-05 ; 0.0 ; nan ; nan ; 10.0 ; nan ; nan
A4 ; CH ; 22,5 ; 10 ; [1.2911024053251604e-05, 1.4691618770063578e-05, 1.437003506756238e-05, 1.2881977070777367e-05, 1.3499340568713446e-05, 1.3099352442272564e-05, 1.3696773888670278e-05, 1.3814165855500542e-05] ; [0.0015240360331952752, 0.0011102510697970282, 0.0013452637237112196, 0.0004384365014759722, 0.0006576393902317685, 0.0006657078707125168, 0.0006468461149267236, 0.0004404143927701288] ; [47.71035855600616, 43.250642782457845, 45.39200209504682, 35.27385784653469, 38.860159044461454, 39.28288144651478, 38.549480996784816, 34.620215085166926] ; -0.0023526067636920806 ; -0.0023943207094430283 ; 0.00017708333333333335 ; 0.0002708333333333333 ; 22.5 ; 85.00052553278957 ; nan ; 10.0 ; 21.770522202845424 ; nan
A4 ; CH ; 45 ; 10 ; [8.51509078594568e-06, 9.735176318711299e-06, 1.008725510309282e-05, 9.84816390627695e-06, 8.89409796920816e-06, 9.177944830042059e-06, 1.0175336024166505e-05, 9.318377263664894e-06] ; [0.0012918230908630975, 0.0011323148335722999, 0.0011470103348591957, 0.0005738457506850468, 0.0007459151432759819, 0.0005169399508058478, 0.0006560383126806398, 0.0011267107208692711] ; [50.21969772448482, 47.562735911299086, 47.33641371391377, 40.65075600822229, 44.29223937544033, 40.31123413605244, 41.66252435443787, 47.95069300210439] ; -0.0017261231336554272 ; -0.0018480104399832 ; 0.0008229166666666667 ; 0.00065625 ; 45.0 ; nan ; nan ; 10.0 ; nan ; nan
A4 ; CH ; 67,5 ; 10 ; [1.1287914841038169e-05, 1.1667364641029563e-05, 1.1695263594510576e-05, 1.1668093664921447e-05, 1.0217137191811614e-05, 1.0906998116129085e-05, 1.1542824700141256e-05, 1.0872282564200698e-05] ; [0.0018617617198388476, 0.0012082946125165322, 0.0009734446541717617, 0.0004890503907806897, 0.0008529505489164828, 0.0005553955950584932, 0.0003799185495071632, 0.0006050532717981763] ; [51.055458093175915, 46.401696358875746, 44.21657031919224, 37.3560745331933, 44.24635145359839, 39.302760315005045, 34.938928805069395, 40.1909984011762] ; -0.0008589111917083836 ; -0.001054240330501385 ; 0.0015833333333333333 ; 0.00013541666666666666 ; 67.5 ; nan ; nan ; 10.0 ; nan ; nan
A4 ; CH ; 90 ; 10 ; [1.5308388786320967e-05, 1.569408977355534e-05, 1.5959495690848757e-05, 1.5886245689162225e-05, 1.3576019801078803e-05, 1.584975798003943e-05, 1.672444569767674e-05, 1.4208416757671259e-05] ; [0.0011333429032244528, 0.0017354990429035014, 0.0010171677975189444, 0.0007206029731868111, 0.0015639123723514624, 0.0006268536550440083, 0.00033758649946644186, 0.0005596016096326151] ; [43.04525901090261, 47.05766089884132, 41.54723381878089, 38.146346404357146, 47.466409051609375, 36.77558877547679, 30.049503088669077, 36.73390600759727] ; 0.00011225578297665591 ; -0.00011225578297665591 ; 0.00020833333333333335 ; 3.125e-05 ; 90.0 ; nan ; nan ; 10.0 ; nan ; nan
A4 ; CH ; 00 ; 20 ; [1.1989400015622858e-05, 1.3444672279465938e-05, 1.2523304914754334e-05, 1.249567081012484e-05, 1.3242878816911022e-05, 1.366932223629816e-05, 1.3776185073692379e-05, 1.429843398850628e-05] ; [0.0008740731903901033, 0.0007767414447958998, 0.0006700760184988239, 0.0006135722628631946, 0.0011396476747277263, 0.0006012786272652359, 0.00100282702394842, 0.0004996031525459589] ; [42.89141186625555, 40.56524619586533, 39.79799864730061, 38.93915795962227, 44.5501447618902, 37.83904364068169, 42.87636932317063, 35.536640683957486] ; -0.0026207902506298502 ; -0.0026208611433475954 ; -0.000125 ; -5.208333333333334e-05 ; 0.0 ; nan ; nan ; 20.0 ; nan ; nan
A4 ; CH ; 22,5 ; 20 ; [9.799588985309997e-06, 1.2384633129017074e-05, 1.0888319752752508e-05, 9.514478549546513e-06, 1.0410215143278025e-05, 9.153069647640447e-06, 9.448950905737816e-06, 1.0971581498155926e-05] ; [0.000837123432492276, 0.0007021008235371976, 0.00047410159927253426, 0.00036886845979066404, 0.0005650496228229679, 0.0002507825285867174, 0.0003991111765397783, 0.0004165985546970475] ; [44.47631085216501, 40.376205766856614, 37.737310108194166, 36.576254066992405, 39.941260059001635, 33.10496839956985, 37.43336295944666, 36.368146299035075] ; -0.002389048697519174 ; -0.002408084139758724 ; 0.00014583333333333335 ; 0.00020833333333333335 ; 22.5 ; 86.07605303163452 ; nan ; 20.0 ; 33.4055323089402 ; nan
A4 ; CH ; 45 ; 20 ; [9.090412122805132e-06, 1.0013336790728055e-05, 9.502735159601843e-06, 8.589306465591923e-06, 8.87398718937417e-06, 8.581772752172752e-06, 1.0049500285089319e-05, 9.45070674229664e-06] ; [0.00088882569641996, 0.00048140777671005895, 0.0005752131332731204, 0.000516686512053932, 0.0005542970312958288, 0.000384631784225682, 0.00039237091692531287, 0.0007504232961577009] ; [45.82680904067068, 38.72796796074026, 41.031609699744614, 40.96918335614302, 41.34576491297648, 38.02645965402069, 36.646846986637115, 43.74547915942584] ; -0.0017910129866646628 ; -0.0018510017574588868 ; 0.0007708333333333333 ; 0.00065625 ; 45.0 ; nan ; nan ; 20.0 ; nan ; nan
A4 ; CH ; 67,5 ; 20 ; [2.4673377012737414e-05, 2.084525526501668e-05, 1.725269963806518e-05, 1.2490689105277376e-05, 2.1844986815307437e-05, 1.745237913459491e-05, 1.7216635912385994e-05, 2.0761159492960448e-05] ; [0.0007278627892340141, 0.0007571810940290578, 0.0005808965528571834, 0.0002536184888560076, 0.000584537116961807, 0.0004442766174459457, 0.00037509004348878073, 0.00032148866160393134] ; [33.84387745509364, 35.924760936366546, 35.16604058849542, 30.108476303134392, 32.86848822122509, 32.36971401259926, 30.812899925299796, 27.398783668828585] ; -0.0009305903167367472 ; -0.0010297798013220968 ; 0.00159375 ; 0.0001875 ; 67.5 ; nan ; nan ; 20.0 ; nan ; nan
A4 ; CH ; 90 ; 20 ; [9.845165639198209e-06, 1.1685415596797498e-05, 1.0668742252246024e-05, 1.023733619397248e-05, 1.061936707257682e-05, 1.012614787583553e-05, 1.1046984277060365e-05, 1.074680357734107e-05] ; [0.0006037795801854345, 0.000939785310765911, 0.0007766741450358857, 0.0002786456234118586, 0.0004192072969983872, 0.0004461007283456005, 0.00044211107215775874, 0.00038291178934762073] ; [41.162286612103, 43.87309922325751, 42.877027052965964, 33.03899359030574, 36.75686123465153, 37.854237978091454, 36.89403670370847, 35.73196278918612] ; 5.754796105719341e-05 ; -5.754796105719341e-05 ; 8.333333333333333e-05 ; 7.291666666666667e-05 ; 90.0 ; nan ; nan ; 20.0 ; nan ; nan
