arr ; signal ; angle ; dist ; pNoise ; pSigna ; snr_DB ; TDOA_real1 ; TDOA_real2 ; TDOA_CSOM1 ; TDOA_CSOM2 ; angleReal ; angleLIN ; angleNOL ; distanceReal ; distanceLIN ; distanceNOL
A5 ; CH ; 00 ; 10 ; [7.570212155365505e-06, 9.483884346210479e-06, 8.523775507505573e-06, 8.119898441240018e-06, 7.888609180875558e-06, 8.373933729737817e-06, 8.578906090099379e-06, 7.919053351431263e-07] ; [0.0007225561775458299, 0.0007634570590824858, 0.000453835754060419, 0.0003689927743504897, 0.00048087285833694706, 0.0003398453003634412, 0.00039797100170931477, 5.6188670967056416e-05] ; [45.585740784880606, 43.88262907372511, 39.748759800178, 38.16459415283894, 41.10183064252033, 37.03366761382151, 38.37072732557931, 42.620285730087275] ; 0.0015648328486935056 ; 0.0015648328486935056 ; 0.0016354166666666667 ; 0.0016458333333333333 ; 0.0 ; nan ; nan ; 10.0 ; nan ; nan
A5 ; CH ; 10 ; 10 ; [1.6813201184540703e-05, 1.980152558111977e-05, 1.8501906517032268e-05, 1.666117858280218e-05, 1.5448393660942303e-05, 1.5428283513930718e-05, 1.5353493648541017e-05, 1.3130201288707377e-06] ; [0.001359182768883802, 0.0006194787568461579, 0.0005159828056578043, 0.00045689179277555263, 0.0006778724553381518, 0.00040493600385455464, 0.0004843995834609589, 6.916479563801533e-05] ; [43.92474530245625, 34.431194253921916, 33.28199660808566, 33.11365208059704, 37.814541235005905, 32.67526622686222, 34.51567104381469, 39.64162073974664] ; 0.0015339026502003445 ; 0.0015482836094059804 ; -0.0008958333333333333 ; -0.00090625 ; 10.0 ; 54.87116432943617 ; -234.8704908390651 ; 9.999999999999998 ; 38.0177672158828 ; 38.015710752985704
A5 ; CH ; 25 ; 10 ; [8.559655147649785e-06, 9.770052595401758e-06, 1.0716159051704557e-05, 9.871984883272033e-06, 9.613739540611085e-06, 8.904635268967218e-06, 8.335536119478732e-06, 8.031146355493892e-07] ; [0.0013565352213331851, 0.001180149557073918, 0.0007376165370996483, 0.0005272574904632278, 0.0011305239590199293, 0.0008429954359973725, 0.0017269199130206167, 7.746908249797533e-05] ; [50.65629193769727, 47.94074603313844, 42.316712981138195, 39.77988090032508, 47.67243207361255, 45.50389586088436, 53.335668679959376, 45.691367373877014] ; 0.0014022983395719029 ; 0.001434508316622805 ; -0.0010833333333333333 ; -0.0010208333333333332 ; 25.0 ; nan ; nan ; 10.0 ; nan ; nan
A5 ; CH ; 00 ; 20 ; [7.432988673070622e-06, 8.10769351473426e-06, 8.092902397050928e-06, 7.457671191809405e-06, 7.326458646296386e-06, 6.526488628502989e-06, 7.434605173778182e-06, 6.733277457283911e-07] ; [0.00025701342352588147, 0.0003511669975370921, 0.00043282903729795533, 0.00013731803455928877, 0.00022975221189833263, 0.00020963439006546516, 0.0002658023264668741, 2.116344269195403e-05] ; [35.4320029327791, 37.68448459257228, 39.793553867336065, 29.13056462836044, 34.455091209242504, 34.694959442403444, 35.76607424164374, 34.47798367576275] ; 0.0015652567755912005 ; 0.0015652567755912005 ; -0.0008645833333333333 ; -0.0008645833333333333 ; 0.0 ; 1.4210854715202004e-14 ; nan ; 20.0 ; 0.17794686323550254 ; nan
A5 ; CH ; 10 ; 20 ; [1.3276974089082058e-05, 1.5345987972797756e-05, 1.4868378292739872e-05, 1.3317796443712149e-05, 1.344322820139765e-05, 1.2508123554556224e-05, 1.321823999838866e-05, 1.1090994970193436e-06] ; [0.0006416047149826631, 0.0004600121140105211, 0.0006834220091822174, 0.0003279549715907857, 0.00036521243434126224, 0.0003000796598163029, 0.0005850509037700246, 3.812582399287339e-05] ; [38.77941141966086, 34.00398753922022, 38.27875849050561, 32.03775097951642, 33.02003696363604, 31.776696545402793, 37.90101164617689, 35.373434254968224] ; 0.001537889184782822 ; 0.0015450816183002478 ; -0.0008958333333333333 ; -0.0008854166666666666 ; 10.0 ; nan ; nan ; 19.999999999999996 ; nan ; nan
A5 ; CH ; 25 ; 20 ; [1.0975854961805978e-05, 1.118797792232349e-05, 1.1551139276539922e-05, 1.2187887367097068e-05, 1.0669820021342244e-05, 1.0119973628430168e-05, 1.1114920917826954e-05, 1.187979056608372e-06] ; [0.0005924889762752527, 0.0005332980230893153, 0.0005078620905351504, 0.0005777653017679925, 0.0005725382056011196, 0.0005119812630180265, 0.0009050933451017625, 5.1808473106121305e-05] ; [39.88634410618545, 38.64240608658107, 37.83425864633084, 38.587251141205016, 39.8266027043278, 39.23776970732376, 43.99749649654336, 37.75300117698474] ; 0.001410595475899497 ; 0.0014267048310279459 ; -0.0010416666666666667 ; -0.0010208333333333332 ; 25.0 ; nan ; nan ; 20.0 ; nan ; nan
A5 ; CH ; 00 ; 40 ; [1.4024492893915566e-05, 1.563201820553145e-05, 1.4861910215844757e-05, 1.3940554376384395e-05, 1.3521734342005701e-05, 1.3318643479816149e-05, 1.3789610300984931e-05, 1.1486112102249935e-06] ; [0.00017719928707792546, 0.00013806971573870533, 0.00011250844475697165, 9.501410634901435e-05, 9.708505498601751e-05, 0.00010733078414317465, 9.93256791107082e-05, 9.729957108728967e-06] ; [25.36469721442119, 21.7843748417381, 20.242267048059517, 19.192231951693717, 19.71289107694287, 20.867506873039204, 19.74488707066952, 21.36655918737337] ; 0.0015653627394450293 ; 0.0015653627394450293 ; -0.000875 ; -0.000875 ; 0.0 ; 1.4210854715202004e-14 ; nan ; 40.0 ; 0.18105584122940252 ; nan
A5 ; CH ; 10 ; 40 ; [6.104862508599242e-06, 6.717824497482145e-06, 6.440519972173145e-06, 5.759610501354686e-06, 5.26464685023295e-06, 5.547656264911244e-06, 5.596979227999193e-06, 5.337496808132406e-07] ; [0.00031397206166146655, 0.000138997522574211, 0.00017129229426910382, 0.00013915686413250113, 0.00016747829921053543, 0.00011756630209181701, 0.0002496122257133602, 1.3665977251736128e-05] ; [39.402184201541665, 30.29691743137059, 32.80762142605945, 31.84731964641935, 34.59839717563052, 30.536269036075694, 37.97681587890835, 32.42737644216351] ; 0.0015397852297158842 ; 0.0015433816901151945 ; 0.0016354166666666667 ; 0.001625 ; 10.0 ; nan ; nan ; 39.99999999999999 ; nan ; nan
A5 ; CH ; 25 ; 40 ; [1.3841438332436054e-05, 1.576684823885608e-05, 1.702591166347859e-05, 1.4878817743512347e-05, 1.4572633859799162e-05, 1.5416885980662007e-05, 1.442975959505468e-05, 1.3407373627324647e-06] ; [0.00029208345996861496, 0.0001644961003241533, 0.0001252661449899374, 0.0001612149462724692, 0.000193966732162257, 0.0001299852277943493, 0.00015647204035428925, 1.909066649516431e-05] ; [30.49372712695668, 23.449773407182953, 19.95704234655544, 23.82799971058781, 25.885412839818525, 21.319574106859687, 23.83584625568581, 26.55979817126916] ; 0.0014146842639487696 ; 0.0014227394869070324 ; -0.0010208333333333332 ; -0.0010520833333333333 ; 25.0 ; 48.56112720165409 ; nan ; 40.0 ; 13.359465549266965 ; nan
A5 ; CH ; 00 ; 60 ; [7.557200299018669e-06, 8.842796584674202e-06, 8.365052304540138e-06, 8.017710559455528e-06, 7.514612115061691e-06, 7.0217664353144175e-06, 7.665028014345642e-06, 6.819028093828112e-07] ; [9.510059561436217e-05, 6.777066122277446e-05, 6.980596787681137e-05, 4.641366782999858e-05, 7.066183741599861e-05, 4.488361353459077e-05, 5.131220884062225e-05, 4.428881720124371e-06] ; [25.324344417795178, 20.365261936139124, 21.21656918577748, 17.559410664349826, 22.410562381052742, 18.550579581032352, 19.01260545801049, 18.710152583401584] ; 0.0015653823615945663 ; 0.0015653823615945663 ; 0.001625 ; -0.0008645833333333333 ; 0.0 ; nan ; nan ; 60.0 ; nan ; nan
