Array 	 Signal 	 Distance 	 Angle 	 Channel 	 Pnoise[W] 	 Psignal[W] 	 SNR_FAC 	 SNR_DB[db]
A4 	 CH 	 10 	 00 	 average 	 1.622341785057499e-05 	 0.0011610189218957986 	 72.45994668309393 	 42.36549150606578
A4 	 CH 	 10 	 00 	 1 	 1.6337308266074633e-05 	 0.0013052694389980677 	 79.89501194076966 	 43.80713422047122
A4 	 CH 	 10 	 00 	 2 	 1.687144065392024e-05 	 0.0009460818262727793 	 56.07593599619178 	 40.267067721295014
A4 	 CH 	 10 	 00 	 3 	 1.714311138556125e-05 	 0.0016163336403459913 	 94.28473069989762 	 45.46319253939962
A4 	 CH 	 10 	 00 	 4 	 1.4220537714777706e-05 	 0.0009938878398791403 	 69.89101676839628 	 42.46937125507357
A4 	 CH 	 10 	 00 	 5 	 1.5949292538443172e-05 	 0.0010636209703888577 	 66.68765826604363 	 42.0001990230817
A4 	 CH 	 10 	 00 	 6 	 1.568684556287968e-05 	 0.0010360351479148445 	 66.0448363415045 	 41.90333849888117
A4 	 CH 	 10 	 00 	 7 	 1.4920300975527175e-05 	 0.0016450278792753332 	 110.25433615404731 	 47.02789843748984
A4 	 CH 	 10 	 22,5 	 average 	 1.3620535964601468e-05 	 0.0008535743871025791 	 62.488304703969845 	 40.36744973162169
A4 	 CH 	 10 	 22,5 	 1 	 1.2911024053251599e-05 	 0.0015240360331952752 	 118.04145255321183 	 47.71035855600616
A4 	 CH 	 10 	 22,5 	 2 	 1.4691618770063574e-05 	 0.0011102510697970284 	 75.57037023444518 	 43.250642782457845
A4 	 CH 	 10 	 22,5 	 3 	 1.4370035067562376e-05 	 0.0013452637237112196 	 93.6158970654078 	 45.39200209504682
A4 	 CH 	 10 	 22,5 	 4 	 1.2881977070777362e-05 	 0.0004384365014759721 	 34.0348767170655 	 35.27385784653469
A4 	 CH 	 10 	 22,5 	 5 	 1.349934056871345e-05 	 0.0006576393902317685 	 48.716408544869 	 38.860159044461454
A4 	 CH 	 10 	 22,5 	 6 	 1.3099352442272559e-05 	 0.0006657078707125168 	 50.81990683480119 	 39.282881446514786
A4 	 CH 	 10 	 22,5 	 7 	 1.3696773888670282e-05 	 0.0006468461149267238 	 47.22616582447805 	 38.54948099678482
A4 	 CH 	 10 	 45 	 average 	 9.468930275138547e-06 	 0.0008988247672014223 	 95.69703921684749 	 44.99828677824437
A4 	 CH 	 10 	 45 	 1 	 8.51509078594568e-06 	 0.0012918230908630973 	 151.70984353981004 	 50.21969772448482
A4 	 CH 	 10 	 45 	 2 	 9.735176318711302e-06 	 0.0011323148335722999 	 116.31169241341391 	 47.562735911299086
A4 	 CH 	 10 	 45 	 3 	 1.0087255103092823e-05 	 0.0011470103348591957 	 113.70886560681055 	 47.33641371391377
A4 	 CH 	 10 	 45 	 4 	 9.84816390627695e-06 	 0.0005738457506850466 	 58.269313564053604 	 40.650756008222274
A4 	 CH 	 10 	 45 	 5 	 8.894097969208163e-06 	 0.0007459151432759819 	 83.86630615700204 	 44.29223937544033
A4 	 CH 	 10 	 45 	 6 	 9.177944830042055e-06 	 0.0005169399508058475 	 56.32415103583476 	 40.311234136052434
A4 	 CH 	 10 	 45 	 7 	 1.0175336024166501e-05 	 0.0006560383126806396 	 64.47338064537068 	 41.66252435443787
A4 	 CH 	 10 	 67,5 	 average 	 1.12322349142228e-05 	 0.0008657336678235184 	 77.07646805568336 	 42.213604784910785
A4 	 CH 	 10 	 67,5 	 1 	 1.1287914841038166e-05 	 0.0018617617198388476 	 164.93406851992322 	 51.055458093175915
A4 	 CH 	 10 	 67,5 	 2 	 1.1667364641029562e-05 	 0.0012082946125165322 	 103.56191391048432 	 46.401696358875746
A4 	 CH 	 10 	 67,5 	 3 	 1.1695263594510576e-05 	 0.000973444654171762 	 83.23409269960099 	 44.21657031919224
A4 	 CH 	 10 	 67,5 	 4 	 1.1668093664921452e-05 	 0.0004890503907806897 	 41.913478313167275 	 37.35607453319329
